Actor
ABELL, ALISTAIR
ABRAHAMS, DOUG
ACHESON, MARK
ADACHI, LEANNE
ADAMS, BROOKE (I)
ADAMS, ENID-RAYE
ADAMS, MASON (I)
ADAMS, STEVE (I)
ADAMTHWAITE, MICHAEL
AGUILERA, CHRISTINA
AIDEM, BETSY
AIRLIE, ANDREW
ALCANTAR, TONY
ALDREDGE, TOM
ALEXANDER, JANE (I)
ALI, MUHAMMAD (I)
ALICE, MARY (I)
ALLAN, PATTI
ALLEN, JOAN (I)
ALLEN, WOODY
ALTER, KIRSTEN
ALVARADO, TRINI
AMENDOLA, TONY (I)
AMEYAW, KWESI
AMOS, JOHN (I)
ANDRE, CHARLES (II)
ANDREI, DAMIR
ANDREWS, JULIE (I)
ANTHONY, PAUL (VI)
ANTOINE, BENZ
ARANHA, RAY
ARESCO, JOEY
ARKIN, ALAN
ARKOS, JULIA
ARMSTRONG, MICHASHA
ARNGRIM, STEFAN
ARNOLD, MADISON
ARQUETTE, ALEXIS
ASNER, EDWARD
AUBERJONOIS, RENE
AVERY, MARGARET
AYKROYD, DAN
AYLESWORTH, REIKO
BACALL, LAUREN
BACARELLA, MIKE
BACON, DANIEL (I)
BAIN, SUSAN
BAKER, DYLAN (I)
BAKER, RAY (I)
BALDWIN, ALEC
BALDWIN, STEPHEN (I)
BAMMAN, GERRY
BANCROFT, ANNE (I)
BANDERAS, ANTONIO
BARANSKI, CHRISTINE
BARBER, GILLIAN (I)
BARNETT, TOM (I)
BARR, ROSEANNE
BARRY, STEVE (II)
BARTY, BILLY
BASSETT, LINDA (I)
BATES, PAUL (I)
BAUCHAU, PATRICK
BAY, FRANCES
BAYNE, LAWRENCE
BEACH, ADAM
BEATTY, NED
BEATTY, WARREN (I)
BEAUDOIN, MICHELLE (I)
BEISER, BRENDAN
BELAFONTE, HARRY
BELL, DEXTER
BELL, DORON
BENJAMIN, ANDRÈ
BENJAMIN, PAUL (I)
BENNETT, SONJA
BENSKIN, TYRONE
BERGEN, CANDICE
BERNHARDT, DANIEL (I)
BERRY, LLOYD
BIGGERS, DAN
BIGWOOD, JAMES
BIRNEY, REED
BIVENS, J.B.
BLACKMAN, IAN (I)
BLACKTHORNE, MELANTHA
BLAIR, BILL (III)
BLATCH, KEVIN
BLOOM, CLAIRE (I)
BOGART, HUMPHREY
BOGDANOVICH, PETER
BOILEAU, DANIEL
BOLTON, CHRISTOPHER (I)
BORGNINE, ERNEST
BOS, JAN (I)
BOSCO, PHILIP (I)
BOSTWICK, BARRY
BOURNE, JR
BOURNE, LINDSAY
BOWER, TOM (I)
BOWIE, DAVID (III)
BOYLE, PETER (I)
BRANAGH, KENNETH
BRANDO, MARLON
BRANTLEY, BETSY
BRAUGHER, ANDRE
BRAZEAU, JAY
BREKER, ERIC
BRENNAN, EILEEN (I)
BRENNER, EVE
BREUER, BEVERLEY
BRIDGES, JEFF (I)
BRODERICK, MATTHEW (I)
BROKAW, TOM (I)
BROLIN, JOSH
BROOKS SWOPE, TRACY
BROOKS, MEL (I)
BROWN, ARTINE
BROWN, BLAIR (I)
BROWN, BRYAN (I)
BROWN, JAMES (I)
BROWNE, ROSCOE LEE
BRUNO, DYLAN
BRYANT, PETER (I)
BUDAY, ZOLTAN
BUECHNER, GENEVIEVE
BUHR, GAVIN
BUONO, CARA
BURKE, MICHAEL REILLY
BURROUGHS, JACKIE (I)
BURSTYN, ELLEN
BURTON, KATE (I)
BURTON, TONY (I)
BUSH, BARBARA (I)
BUSH, GEORGE (I)
BUTLER, TOM (I)
BYRNES, JIM (I)
CALABRETTA, TONY
CALDERON, WILMER
CAMACHO, MARK
CAMPBELL, BRENDA (I)
CAMPBELL, J. KENNETH
CAMPBELL, PAUL (VIII)
CAMPBELL, SEAN (I)
CAMROUX, KEN
CANNON, DYAN
CANNON, WANDA (I)
CAPERS, VIRGINIA
CAPSHAW, KATE
CARDINAL, BEN
CAREY JR., HARRY
CARLIN, GEORGE
CARLSON, LESLIE
CARLSON, LILLIAN (I)
CARRADINE, KEITH
CARROLL, J. WINSTON
CARSON, JOHNNY (I)
CARUK, LISA MARIE
CASSIE, KYLE
CASSINI, FRANK
CASTILLO, ENRIQUE (I)
CASTRO, DAVID (I)
CATTRALL, KIM
CAVALIER, JASON
CAVETT, DICK
CECERE, FULVIO
CHALFANT, KATHLEEN (I)
CHALK, GARRY
CHAMBERS, LOSSEN
CHAN, JACKIE (I)
CHANNING, STOCKARD
CHAO, ROSALIND
CHAPMAN, DOUGLAS
CHATELAIN, CHRISTINE
CHAYKIN, MAURY
CHEESEMAN, KEN
CHEN, JOAN (I)
CHER (I)
CHIN, TSAI
CHIRILLO, LOUIS
CHONG, RAE DAWN
CHONG, TOMMY
CHOW, YUN-FAT
CHRISTOPHER, JULIAN
CHU, SAMUEL PATRICK
CHUBAI, DAWN
CLARKSON, PATRICIA
CLEMENT, JENNIFER (I)
CLINTON, BILL (I)
CLINTON, HILLARY RODHAM
CLOONEY, GEORGE
CLOSE, GLENN
COATES, KIM
CODRINGTON, JIM
COE, GEORGE
COFFIN, FREDERICK
COLE, GARY (I)
COLLINS, JOELY
COMBS, JEFFREY
CONNICK JR., HARRY
CONROY, FRANCES
CONSTANTINE, MICHAEL
COOPER, CHRIS (I)
COPELAND, JOAN (I)
COPPOLA, FRANCIS FORD
CORBIN, BARRY
CORMAN, ROGER
COSBY, BILL
COTTON, BEN (I)
COUTURIER, SANDRA-JESSICA
COYOTE, PETER
CRANE, CHILTON
CRAVEN, AARON
CRAVEN, MATT (I)
CRENNA, RICHARD
CRICHLOW, BRENDA
CROFT, BILL
CROMBIE, PETER (I)
CRONKITE, WALTER (I)
CROSBY, MARY (I)
CROSS, BEN (I)
CROSS, KENDALL
CRUZ, PENÈLOPE
CRYER, JON
CUBITT, DAVID
CUDLITZ, MICHAEL
CULLUM, JOHN (I)
CULP, ROBERT
CUMMINS, MARTIN (I)
CUNNINGHAM, COLIN (I)
CURRIE, GORDON (I)
CURTIN, JANE
CURTIS BROWN, ROBERT
CUSACK, JOHN (I)
CUTSHALL, D. HARLAN
D., CHUCK
DAHLGREN, TOM
DAINGERFIELD, MICHAEL
DALLESANDRO, JOE
DALTON, KRISTEN (I)
DALTON, WALLY (I)
DALY, TIM (I)
DANE, LAWRENCE
DANIELS, JEFF (I)
DANNER, BLYTHE
DARROW, HENRY
DARSHI, AGAM
DAVID, KEITH (I)
DAVIES, GLYNIS
DAVIS, DON S. (I)
DAVIS, JUDY (I)
DAVIS, OSSIE
DAVIS, WILLIAM B.
DAWSON, BRUCE (I)
DE BOER, NICOLE
DE LA PAZ, DANNY (I)
DE NIRO, ROBERT
DEAKINS, SARAH
DEE, RUBY (I)
DEGENERES, ELLEN
DELLAR, LOIS
DELUISE, ANNE MARIE
DEMUNN, JEFFREY
DESTRY, JOHN B.
DEVEAUX, NATHANIEL
DEVRIES, JON
DIAKUN, ALEX
DIAMOND, DUSTIN
DIAZ, CARLOS (I)
DICKINSON, ANGIE
DILLER, PHYLLIS (I)
DILLON, MATT (I)
DIMOPOULOS, STEPHEN
DIO, BOB
DISHY, BOB
DITSON, HARRY
DIXON, TIM (I)
DOBSON, MICHAEL (I)
DOLENZ, MICKY
DONCHEFF, LEN
DONOVAN, MARTIN (II)
DOOLEY, PAUL
DOPUD, MIKE
DORVAL, ADRIEN
DOUGLAS, AARON (I)
DOWNEY JR., ROBERT
DRAKE, LARRY (I)
DRAKE, PATRICIA
DRESCHER, FRAN
DRIESSCHEN, MARKE
DRUMMOND, ALICE
DRUMMOND, BRIAN
DUBIN, ELLEN
DUBOIS, CASEY
DUFFIN, SHAY
DUKAKIS, OLYMPIA
DUKE, BILL (I)
DUKES, DAVID (I)
DUNN, CONRAD
DUNSMORE, ROSEMARY
DUNST, KIRSTEN
DUPOIS, STARLETTA
DURAND, KEVIN
DURNING, CHARLES
DUVALL, ROBERT
DYSON, CHRISTOPHER
EASTWOOD, CLINT
EBERSOLE, CHRISTINE
EBERT, ROGER
ECKHOUSE, JAMES
EGGAR, SAMANTHA
ELFMAN, JENNA
ELIZONDO, HECTOR (I)
ELLIOTT, BRENNAN
ESPOSITO, GIANCARLO (I)
EVANS, ART (I)
EWEN, LESLEY
FALK, PETER (I)
FALLON, JIMMY
FANCY, RICHARD
FARINA, DENNIS
FARMER, GARY (I)
FARROW, MIA
FAULCONBRIDGE, SCOTT
FAWCETT, ALAN (I)
FERRELL, CONCHATA
