Actor
MOORE, SHEILA (I)
MOORE, ROGER (I)
MOORE, FRANK (I)
KUZYK, MIMI
MIRREN, HELEN
MILLER, STEPHEN E. (I)
MEREDITH, BURGESS
MEARA, ANNE
MCSHANE, IAN
MCROBBIE, PETER
MCRANEY, GERALD
MCQUAID, KENT
HEINDL, SCOTT
MCINTOSH, YANNA
WORLEY, BILLIE (I)
MCDOWALL, RODDY
MCDONALD, BRENDA (I)
MCCARTHY, KEVIN (I)
MARIN, CHEECH
MARCH, CRAIG (I)
WELCH, RAQUEL
MANKUMA, BLU
MALTHE, NATASSIA
MALKOVICH, JOHN
BAUCHAU, PATRICK
MACLAINE, SHIRLEY
MACARIO, MIG
REITER, DONOVAN
THIGPEN, LYNNE
LYNDECK, EDMUND
MCKINNEY, BILL (I)
CAMPBELL, PAUL (VIII)
LU, LISA (I)
LOWE, CHAD (I)
LONGWORTH, DAVID
HAYSBERT, DENNIS
MCHATTIE, STEPHEN
JONES, TY (I)
LEWIS, ROBERT (II)
BENNETT, SONJA
HOPPER, DENNIS
LEVY, PHILIP (I)
LETTERMAN, DAVID
MARKINSON, BRIAN
THOMPSON, IAN (VII)
WATSON, BRETT (I)
LEMMON, JACK
LEHMAN, KRISTIN
LEDFORD, BRANDY
LEBLANC, PIERRE (I)
LEARY, TIMOTHY
LEAKE, DAMIEN
MANDELA, NELSON
MADIGAN, AMY (I)
MOLONEY, ROBERT (I)
KING, ALAN (I)
LANE, NATHAN (I)
LACROIX, PETER
MOFFETT, D.W.
MATHEWS, HROTHGAR
KRISTOFFERSON, KRIS (I)
KORMAN, HARVEY
KOPSA, MICHAEL
ROBBINS, TIM (I)
GRIFFIN, JENN
CULP, ROBERT
MANN, MICHAELA
LIPTON, PEGGY
LI, JET
MARTIN, STEVE (I)
KINNEY, TERRY
VIDAL, GORE
KIND, RICHARD
KILPATRICK, PATRICK
KILMER, VAL
KIDNIE, JAMES
KIDDER, MARGOT
FOX, COLIN (I)
LIBERTINI, RICHARD
KENNEDY, ROBERT F.
LOUGH HAGGQUIST, CATHERINE
KELLY, TERENCE (I)
KELLY, BRAD (I)
KELLERMAN, SALLY
EWEN, LESLEY
KEENLEYSIDE, ERIC
KEATON, DIANE
KAVNER, JULIE
BOYLE, PETER (I)
KATSULAS, ANDREAS
LEWIS, RICHARD (II)
JOSHUA, LARRY
BUSH, GEORGE (I)
JONES, MICKEY (I)
JONES, JAMES EARL
JOHNSON, PENNY (I)
LAHTI, CHRISTINE (I)
JOHNSON, P. LYNN
JOHNSON, BROCK (I)
VON DOHLEN, LENNY
JENKINS, RICHARD (I)
WISDOM, ROBERT
JEANNIN, MARCEL
GIBB, CYNTHIA
JARSKY, JORIS
DICKINSON, ANGIE
JAMES, BRION (I)
LUND, JORDAN
JAGGER, MICK
JACKSON, ERNIE
JACKSON, DEE JAY
JACKSON, ANDREW (II)
MOORE, DEMI
IVEY, DANA
MUÒOZ, NICOLE (I)
ITZIN, GREGORY
IRVING, AMY (I)
IRONS, JEREMY
INNES, JOHN (I)
HYLANDS, SCOTT
HYATT, PAM
HUTTON, PASCALE
WU, PAUL (I)
HUNT, LINDA (I)
HUNT, BONNIE
HUGOT, MARCELINE
KNIGHTLEY, KEIRA
HAMILTON, JOSH (I)
BREKER, ERIC
HOUGHTON, MARK (I)
HOUDE, SERGE (I)
HOPKINS, ANTHONY (I)
HONG, JAMES (I)
HOLNESS, KAREN
HOLMES, EMILY (I)
LITTLE RICHARD
HOLLY, LAUREN
WILLIAMS, DENALDA
KOSTYUK, TARAS
HOFFMAN, DUSTIN
HA, BENITA (I)
MORTON, AMY (I)
HODGSON, BRYCE
HITLER, ADOLF
HIRSCH, JUDD
BEATTY, WARREN (I)
ABELL, ALISTAIR
HILL, DULÈ
HIGGINS, MICHAEL (I)
ADAMS, STEVE (I)
HERRMANN, EDWARD
HEPPELL, COLE
HEMINGWAY, MARIEL
HOOTKINS, WILLIAM
CRONKITE, WALTER (I)
HEATON, TOM (I)
HEARD, JOHN (I)
FLANAGAN, FIONNULA
REINER, CARL
LEGUIZAMO, JOHN
MCCARTHY, FRANCIS X.
LOVGREN, DAVID
JOHNSTON, SHAUN (I)
HAUER, RUTGER
MATCHETT, KARI
HUNTER, KIM (I)
HART, ROXANNE
KOBER, JEFF
SIEGEL, CHARLES (I)
HARRIS, ED (I)
HARRINGTON, ADAM (I)
BANDERAS, ANTONIO
HANLON, PETER (I)
KELLY, LISA ROBIN
BARRY, STEVE (II)
ZAHARA, ALEX
OYARZUN, ALONSO
HUNT, HELEN (I)
HANDY, JAMES (I)
HAMILTON, RICHARD (I)
SAXON, ROLF
HALEY, JACKIE EARLE
HAHN, ARCHIE
GYLLENHAAL, JAKE
BUECHNER, GENEVIEVE
GUINAN, FRANCIS
KERTON, PATRICK
GROSS, ARYE
PLIMPTON, GEORGE (I)
GREENE, GRAHAM (II)
GREEN, ALEX (I)
GRAY-STANFORD, JASON
GRANT, TEACH
GRANT, STACY (I)
BROKAW, TOM (I)
GRANGER, PHILIP
RIEGERT, PETER
MARTIN, RALPH P.
GOULEM, ALAIN
COLE, GARY (I)
GONG, LI
GOLDWYN, TONY
KAPELOS, JOHN
GOLDEN, ANNIE
GOLDBLUM, JEFF
GOING, JOANNA
VEREEN, BEN (I)
CRYER, JON
JARRETT, PAUL (I)
CATTRALL, KIM
GIMPEL, ERICA
FAWCETT, ALAN (I)
GILMORE, PATRICK (II)
SHAW, STAN (I)
GERETY, PETER
SPACEY, KEVIN
GENZEL, CARRIE
KELSEY, TAMSIN
GARRETT, SPENCER (I)
HARRIS, ROSEMARY (I)
GARO, ARMEN
HOPE, LESLIE (I)
ROBINSON, ANDREW (I)
KEITEL, HARVEY
MOFFAT, DONALD
RUGINIS, VYTO
GARCIA, JSU
GARBER, VICTOR
MAHAFFEY, VALERIE
GANN, MERRILYN
GALLIGAN, ZACH
GALLAGHER, PETER (I)
CASTILLO, ENRIQUE (I)
SHEEDY, ALLY
BURKE, MICHAEL REILLY
CARSON, JOHNNY (I)
SUTHERLAND, DONALD (I)
GORDEY, KEITH MARTIN
CARRADINE, KEITH
CARLSON, LESLIE
MCGRAW, MELINDA
HARTH, C. ERNST
CARDINAL, BEN
BORGNINE, ERNEST
CHAO, ROSALIND
CORBIN, BARRY
DOWNEY JR., ROBERT
KERSHAW, ANNABEL
CAMPBELL, SEAN (I)
CRANE, CHILTON
CAMACHO, MARK
BEAUDOIN, MICHELLE (I)
MARTINEZ, A
ANDRE, CHARLES (II)
SCHORPION, FRANK
DOBSON, MICHAEL (I)
KEATING, DOMINIC
MOSS, JESSE (II)
HEYMAN, BARTON
BURTON, TONY (I)
SHAVER, HELEN
BUDAY, ZOLTAN
DALY, TIM (I)
DESTRY, JOHN B.
BROWN, BLAIR (I)
BROOKS, MEL (I)
SMITH, LOIS (I)
MURDOCK, GEORGE (I)
GRANT, DAVID MARSHALL
LYMAN, WILL
LINDE, BETTY
KERRY, JOHN (III)
DONCHEFF, LEN
BREUER, BEVERLEY
BUSH, BARBARA (I)
HOLT, SANDRINE (I)
ARKIN, ALAN
BRANDO, MARLON
WALKER, LOU
CHONG, RAE DAWN
ROMANO, RAY (I)
HESTON, CHARLTON
PODHORA, ROMAN
BOURNE, LINDSAY
REDFORD, ROBERT (I)
SOMMER, JOSEF
KOSTERMAN, MITCHELL
MIDLER, BETTE
DAWSON, BRUCE (I)
POUNDER, CCH
FLEMING, CARRIE (I)
ST. THOMAS, CLAY
BOGART, HUMPHREY
LINNEY, LAURA
CROFT, BILL
GLOVER, JOHN (I)
HYLAND, EDWARD JAMES
MANN, JOHN (II)
MORENO, RITA (I)
JOHNSON, LEILA
HALL, DANNY BLANCO
CLEMENT, JENNIFER (I)
AYLESWORTH, REIKO
MITCHELL, PHILLIP (I)
CROSBY, MARY (I)
ANTHONY, PAUL (VI)
CHONG, TOMMY
BIVENS, J.B.
GLOVER, DANNY (I)
MONK, DEBRA
HEALD, ANTHONY
HOWARD, RON (I)
RHODES, DONNELLY
DIAKUN, ALEX
GAINES, BOYD
PLATT, OLIVER
BAY, FRANCES
MAXIE, JUDITH
AGUILERA, CHRISTINA
MORSE, RALPH (I)
MACLAREN, JOHN (I)
ARQUETTE, ALEXIS
PALANCE, JACK
ROWE, NICHOLAS (I)
FORREST, FREDERIC
CRICHLOW, BRENDA
LEWIS, GEOFFREY (I)
BANCROFT, ANNE (I)
CECERE, FULVIO
COLLINS, JOELY
HURT, WILLIAM
HARRISON, MICHELLE (II)
BACARELLA, MIKE
ARMSTRONG, MICHASHA
MICHAEL, RYAN (I)
HEFNER, HUGH M.
LLOYD, CHRISTOPHER (I)
GREEN, SETH (I)
BRANTLEY, BETSY
SINGER, LEÛN
ARANHA, RAY
BROOKS SWOPE, TRACY
MORIARTY, MICHAEL (I)
BRANAGH, KENNETH
MACLACHLAN, JANET
BACON, DANIEL (I)
GUILFOYLE, PAUL (II)
BLACKTHORNE, MELANTHA
AYKROYD, DAN
DARSHI, AGAM
JORDAN, DON (I)
CRAVEN, AARON
GUGUSHE, BISKI
LANGELLA, FRANK
CASTRO, DAVID (I)
JOY, ROBERT (I)
DIXON, TIM (I)
BRENNER, EVE
BURSTYN, ELLEN
ASNER, EDWARD
HAYWARD, RACHEL
HARRELSON, WOODY
MCDANIEL, JAMES (I)
BAMMAN, GERRY
WIEST, DIANNE
BROWN, JAMES (I)
PETERS, CLARKE
SINISE, GARY
IRWIN, BILL (I)
PEABODY, DOSSY
CODRINGTON, JIM
CASSINI, FRANK
